FOLIO,EDAD,SEXO,NSE,adophomo,matrimonio,Aborto
4171355,19,1,2,2,4,2
4171356,23,1,1,1,1,2
4171357,16,2,3,5,2,4
4171371,23,2,1,3,5,1
4171433,18,2,3,3,2,5
4171672,21,2,2,2,5,
4171694,22,1,3,2,4,1
4171765,23,1,2,5,1,3
4171766,29,2,2,5,5,
4171847,28,1,3,4,2,4
4171852,29,2,2,4,2,2
4171857,26,1,3,4,2,3
4171858,23,1,2,,1,4
4171865,18,1,3,3,3,2
4171867,18,2,2,4,4,1
4171868,16,2,2,2,2,2
4171869,29,1,3,3,3,4
4171870,23,2,2,4,3,5
4171871,20,1,2,4,2,3
4171872,26,1,2,2,3,3
4171873,16,2,2,3,3,3
4171939,23,1,2,5,2,2
4171947,26,2,2,4,3,
4171992,28,2,3,4,4,2
4172004,23,2,3,5,4,1
4172005,24,2,3,1,5,1
4172006,29,2,3,1,5,1
4172016,25,2,3,1,4,1
4172024,24,1,2,5,5,2
4172028,29,2,3,5,3,1
4172039,28,2,3,4,2,2
4172101,16,2,2,4,3,5
4172109,18,1,,2,4,2
4172130,29,2,3,4,4,5
4172131,16,2,3,4,2,3
4172188,29,1,2,3,4,
4172190,28,2,3,5,3,1
4172191,26,2,1,5,5,5
4172215,25,1,3,3,1,3
4172216,17,2,2,4,2,3
4172220,19,2,3,1,2,
4172224,28,2,3,1,2,3
4172292,29,2,2,2,4,2
4172293,28,2,2,1,5,4
4172294,23,1,3,5,5,1
4172339,28,1,3,2,2,1
4172370,27,2,3,1,4,1
4172418,23,2,3,5,2,2
4172419,25,2,2,4,4,1
4172431,21,2,3,4,4,1
4173036,20,2,2,5,2,3
4173139,19,1,3,3,4,
4173144,26,2,2,1,4,1
4173240,16,2,3,4,4,1
4173270,23,2,3,4,3,1
4173306,22,2,2,2,4,4
4173333,27,1,2,3,2,3
4173421,18,1,2,4,3,2
4173503,21,2,3,4,3,1
4173541,18,1,3,3,4,3
4173545,29,2,2,3,2,3
4173570,22,1,3,3,2,3
4173776,29,1,2,1,5,2
4173779,23,2,2,5,4,3
4174024,20,2,3,5,1,2
4174111,24,1,2,5,3,4
4174184,27,2,2,1,5,1
4174230,19,2,3,4,2,2
4174290,29,2,2,3,3,5
4174306,26,1,3,4,5,3
4174327,21,1,3,4,5,3
4174335,24,1,3,5,3,2
4174375,22,2,2,5,2,4
4174393,21,2,2,4,4,2
4174395,27,1,2,5,2,3
4174453,20,1,3,3,3,5
4174454,16,1,2,4,2,4
4174456,16,2,1,5,2,2
4174458,22,1,1,3,4,2
4174459,26,1,,5,5,3
4174460,26,1,2,5,1,1
4174464,18,2,3,4,3,5
4174471,20,1,,3,2,1
4174484,22,1,3,4,4,1
4174485,22,1,3,4,1,2
4174513,24,1,3,4,3,4
4174514,20,2,2,1,,1
4174515,19,2,2,2,4,2
4174517,29,1,3,4,2,4
4174556,24,2,3,5,4,2
4174574,21,1,2,5,2,2
4174575,25,1,1,2,3,1
4174616,18,1,3,3,3,2
4174618,21,1,2,5,3,2
4174620,24,2,2,4,4,4
4174621,28,2,2,4,4,2
4174630,27,2,3,4,4,1
4174632,29,1,3,3,3,3
4174637,16,1,2,3,3,4
4174644,28,1,3,3,2,2
4174660,20,2,2,5,3,3
4174669,23,2,2,2,4,3
4174670,19,2,2,4,4,4
4174671,29,1,1,1,4,4
4174672,29,2,1,3,2,2
4174673,22,1,2,4,2,2
4174674,26,2,2,3,2,2
4174676,29,1,1,4,3,5
4174833,29,2,3,1,5,1
4174857,27,1,3,2,2,2
4174872,29,2,3,1,3,2
4174890,19,1,3,5,2,3
4174901,21,1,1,4,3,3
4174903,29,2,2,4,2,3
4174905,17,1,3,5,1,3
4174986,28,1,2,3,4,2
4175037,22,2,2,3,4,1
4175550,25,2,2,2,4,4
4175739,29,2,3,5,1,3
4175740,27,1,1,4,3,2
4175741,26,1,3,3,3,4
4175787,28,2,3,3,3,3
4175788,28,1,2,4,2,3
4175948,28,1,2,5,3,2
4175964,28,1,3,2,1,4
4175968,27,2,3,2,2,3
4175973,16,1,3,2,2,4
4175986,27,1,3,2,4,2
4175987,23,2,3,5,5,1
4176049,24,2,3,5,3,2
4176052,29,1,,1,3,5
4176095,23,2,3,3,2,2
4176097,27,2,3,4,1,5
4176101,22,2,3,5,3,5
4176104,17,1,2,4,3,3
4176219,29,2,1,4,3,2
4176230,27,2,2,1,5,5
4176231,21,2,3,2,3,3
4176246,21,1,2,2,2,4
4176283,25,1,1,2,2,
4176287,22,1,3,3,3,1
4176340,26,2,2,3,4,2
4176401,28,2,3,2,1,4
4176439,24,2,2,4,5,4
4176440,21,1,3,2,1,4
4176441,21,1,3,4,4,3
4176456,23,2,2,4,2,2
4176457,24,1,2,2,3,1
4176468,27,1,3,1,4,5
4176473,27,1,2,5,5,3
4176474,22,2,3,4,1,5
4176475,25,1,3,4,1,2
4176479,23,2,2,3,3,1
4176481,25,2,3,4,1,1
4176482,25,2,1,4,4,3
4176483,21,1,3,3,3,2
4176502,28,2,3,5,4,5
4176504,19,1,2,4,3,2
4176519,27,2,3,4,2,1
4176562,20,2,1,1,3,4
4176600,20,1,3,4,2,2
4176601,19,1,2,4,4,1
4176772,17,1,1,4,3,1
4176815,22,2,2,3,3,1
4176818,22,1,,4,4,5
4176852,25,2,3,3,5,2
4176855,22,2,3,2,2,2
